country,number,mass,region
Oman,3093,6704.182056,Asia
United States,1659,90800.88733,N. America
Libya,1464,1673.3998,Africa
Australia,638,50805.13183,Oceania
Algeria,622,2180.62281,Africa
Chile,404,6312.457391,S. America
Kenya,227,24.61382,Africa
Morocco,163,914.43299,Africa
India,133,1028.7045,Asia
Russia,130,32069.8619,Asia
China,101,54960.2348,Asia
Mexico,94,72378.9552,N. America
Sweden,79,315.4345,Europe
France,71,2664.822,Europe
Argentina,70,53855.1382,S. America
Western Sahara,66,3328.95699,Africa
Canada,59,1328.31244,N. America
Brazil,56,12226.712,S. America
Japan,51,547.5339,Asia
Germany,47,1937.8325,Europe
Tunisia,46,88.77881,Africa
Egypt,45,1692.01968,Africa
South Africa,41,2805.525,Africa
Ukraine,40,782.2892,Europe
Italy,37,392.7527,Europe
Niger,34,396.9114,Africa
Saudi Arabia,30,4172.902298,Asia
Spain,29,893.588,Europe
United Arab Emirates,28,4.93,Asia
Czech Republic,24,359.98786,Europe
United Kingdom,23,271.428,Europe
Poland,21,765.9889,Europe
Namibia,18,86325.0233,Africa
Indonesia,18,1309.655,Asia
Nigeria,18,343.414,Africa
Kazakhstan,16,116.8184,Asia
Pakistan,15,138.9566,Asia
Mauritania,14,287.6704,Africa
Turkey,13,218.843,Asia
Norway,13,109.1492,Europe
Finland,12,379.6662,Europe
Burkina Faso,10,65.037,Africa
Tanzania,9,16013.9847,Africa
Mongolia,9,994.4859,Asia
Romania,9,373.634,Europe
Mali,8,175.86,Africa
New Zealand,8,124.2,Oceania
Bangladesh,8,76.056,Asia
Switzerland,8,43.1427,Europe
Hungary,8,12.7262,Europe
Slovakia,7,783.7,Europe
Ethiopia,7,344.2814,Africa
Sudan,7,121.6174,Africa
Turkmenistan,6,1111.5491,Asia
Serbia,6,311.127,Europe
Portugal,6,216.635,Europe
Uganda,6,158.0787,Africa
Malawi,6,106.696,Africa
Denmark,6,58.24581,Europe
Austria,6,43.854,Europe
Bulgaria,6,37.05815,Europe
Belarus,5,1135.246,Europe
Ireland,5,56.0614,Europe
Netherlands,5,31.55,Europe
Belgium,5,22.345,Europe
Congo - Kinshasa,5,2.079,Africa
Philippines,4,901.745,Asia
Croatia,4,62.608,Europe
Estonia,4,60,Europe
Lithuania,4,48.989,Europe
Angola,4,32.883,Africa
Botswana,4,14.65,Africa
Greenland,3,58253.888,N. America
Lesotho,3,252.3,Africa
Peru,3,145.082,S. America
Zimbabwe,3,94.4666,Africa
Venezuela,3,84.59,S. America
Iran,3,57.774,Asia
Thailand,3,43.254,Asia
Vietnam,3,24.6,Asia
Latvia,3,21.263,Europe
South Sudan,3,16.555,Africa
Iraq,3,12,Asia
Yemen,3,11.4,Asia
Slovenia,3,9.817,Europe
Myanmar,3,7.3226,Asia
Cameroon,3,1.0321,Africa
Colombia,2,825.478,S. America
Somalia,2,372,Africa
Azerbaijan,2,177.2,Europe
Bolivia,2,12.01237,S. America
Cambodia,2,7.896,Asia
Uzbekistan,2,6.3,Asia
Chad,2,4.5624,Africa
Armenia,2,3.8262,Europe
South Korea,2,2.32,Asia
Uruguay,1,80,S. America
Jamaica,1,20.5,N. America
Greece,1,8.5,Europe
Papua New Guinea,1,7.33,Oceania
Ecuador,1,6.58,S. America
Madagascar,1,6,Africa
Guatemala,1,5.72,N. America
Sri Lanka,1,4,Asia
Bosnia and Herzegovina,1,3.9,Europe
Swaziland,1,3.23,Africa
Syria,1,3.2,Asia
Honduras,1,2.7,N. America
Ghana,1,1.557,Africa
Cuba,1,1.5,N. America
Qatar,1,1.5,Asia
Lebanon,1,1.1,Asia
Central African Republic,1,1,Africa
Costa Rica,1,1,N. America
Jordan,1,0.779,Asia
Rwanda,1,0.4655,Africa
Réunion,1,0.43,Oceania
Laos,1,0.367,Asia
New Caledonia,1,0.347,Oceania
Afghanistan,1,0.299,Asia
North Korea,1,0.101,Asia
Israel,1,0.04,Asia
